Text name: ../res/res_mnist_rs_err95_basic_choiceNet.txt
[00/50] [Loss] train:0.059(f:-0.105+r:0.047+k:0.001+l:0.116) val:0.011 test:0.002 [Accr] train:12.0% val:36.5% test:38.9% maxVal:36.5% maxTest:38.9%
[17/50] [Loss] train:0.022(f:-0.121+r:0.029+k:0.001+l:0.113) val:-0.163 test:-0.173 [Accr] train:15.1% val:83.7% test:83.3% maxVal:84.4% maxTest:83.8%
[18/50] [Loss] train:0.020(f:-0.122+r:0.028+k:0.001+l:0.113) val:-0.162 test:-0.171 [Accr] train:15.3% val:83.9% test:83.4% maxVal:84.4% maxTest:83.8%
[19/50] [Loss] train:0.018(f:-0.123+r:0.027+k:0.001+l:0.113) val:-0.172 test:-0.181 [Accr] train:15.3% val:84.2% test:83.5% maxVal:84.4% maxTest:83.8%
[20/50] [Loss] train:0.017(f:-0.123+r:0.026+k:0.001+l:0.113) val:-0.165 test:-0.173 [Accr] train:15.4% val:83.1% test:83.0% maxVal:84.4% maxTest:83.8%
[21/50] [Loss] train:0.015(f:-0.124+r:0.025+k:0.001+l:0.112) val:-0.164 test:-0.166 [Accr] train:15.6% val:83.6% test:83.5% maxVal:84.4% maxTest:83.8%
[22/50] [Loss] train:0.014(f:-0.125+r:0.025+k:0.001+l:0.112) val:-0.165 test:-0.169 [Accr] train:15.7% val:82.9% test:82.5% maxVal:84.4% maxTest:83.8%
[23/50] [Loss] train:0.012(f:-0.126+r:0.024+k:0.001+l:0.112) val:-0.167 test:-0.173 [Accr] train:15.7% val:82.9% test:82.2% maxVal:84.4% maxTest:83.8%
[24/50] [Loss] train:0.009(f:-0.127+r:0.023+k:0.001+l:0.112) val:-0.165 test:-0.170 [Accr] train:16.0% val:83.1% test:82.5% maxVal:84.4% maxTest:83.8%
[25/50] [Loss] train:0.007(f:-0.128+r:0.022+k:0.001+l:0.112) val:-0.167 test:-0.171 [Accr] train:16.2% val:81.3% test:81.2% maxVal:84.4% maxTest:83.8%
[26/50] [Loss] train:0.006(f:-0.128+r:0.022+k:0.001+l:0.112) val:-0.161 test:-0.163 [Accr] train:16.5% val:81.0% test:80.8% maxVal:84.4% maxTest:83.8%
[27/50] [Loss] train:0.003(f:-0.130+r:0.020+k:0.001+l:0.111) val:-0.168 test:-0.175 [Accr] train:16.5% val:80.9% test:80.2% maxVal:84.4% maxTest:83.8%
[28/50] [Loss] train:0.002(f:-0.131+r:0.021+k:0.001+l:0.111) val:-0.167 test:-0.169 [Accr] train:16.7% val:80.3% test:79.6% maxVal:84.4% maxTest:83.8%
[29/50] [Loss] train:-0.000(f:-0.132+r:0.019+k:0.001+l:0.111) val:-0.167 test:-0.172 [Accr] train:17.1% val:79.8% test:78.5% maxVal:84.4% maxTest:83.8%
[30/50] [Loss] train:-0.001(f:-0.132+r:0.019+k:0.001+l:0.111) val:-0.164 test:-0.166 [Accr] train:16.9% val:79.8% test:79.2% maxVal:84.4% maxTest:83.8%
[31/50] [Loss] train:-0.003(f:-0.134+r:0.018+k:0.001+l:0.111) val:-0.165 test:-0.168 [Accr] train:17.3% val:79.5% test:78.8% maxVal:84.4% maxTest:83.8%
[32/50] [Loss] train:-0.005(f:-0.135+r:0.019+k:0.001+l:0.111) val:-0.160 test:-0.166 [Accr] train:17.4% val:79.0% test:77.9% maxVal:84.4% maxTest:83.8%
[33/50] [Loss] train:-0.008(f:-0.137+r:0.017+k:0.001+l:0.111) val:-0.157 test:-0.163 [Accr] train:17.7% val:77.3% test:76.2% maxVal:84.4% maxTest:83.8%
[34/50] [Loss] train:-0.009(f:-0.138+r:0.017+k:0.001+l:0.110) val:-0.166 test:-0.173 [Accr] train:17.8% val:78.9% test:77.4% maxVal:84.4% maxTest:83.8%
[35/50] [Loss] train:-0.011(f:-0.139+r:0.017+k:0.001+l:0.110) val:-0.152 test:-0.152 [Accr] train:18.3% val:76.6% test:75.6% maxVal:84.4% maxTest:83.8%
[36/50] [Loss] train:-0.014(f:-0.140+r:0.015+k:0.001+l:0.110) val:-0.159 test:-0.162 [Accr] train:18.6% val:75.2% test:74.2% maxVal:84.4% maxTest:83.8%
[37/50] [Loss] train:-0.017(f:-0.142+r:0.015+k:0.001+l:0.110) val:-0.165 test:-0.167 [Accr] train:18.6% val:76.2% test:74.2% maxVal:84.4% maxTest:83.8%
[38/50] [Loss] train:-0.018(f:-0.143+r:0.015+k:0.001+l:0.110) val:-0.163 test:-0.165 [Accr] train:18.8% val:76.1% test:74.5% maxVal:84.4% maxTest:83.8%
[39/50] [Loss] train:-0.020(f:-0.145+r:0.014+k:0.001+l:0.110) val:-0.163 test:-0.164 [Accr] train:19.0% val:74.4% test:73.2% maxVal:84.4% maxTest:83.8%
[40/50] [Loss] train:-0.023(f:-0.147+r:0.013+k:0.001+l:0.109) val:-0.157 test:-0.157 [Accr] train:19.3% val:73.9% test:72.1% maxVal:84.4% maxTest:83.8%
[41/50] [Loss] train:-0.026(f:-0.148+r:0.012+k:0.001+l:0.109) val:-0.162 test:-0.162 [Accr] train:19.7% val:73.5% test:71.4% maxVal:84.4% maxTest:83.8%
[42/50] [Loss] train:-0.028(f:-0.150+r:0.012+k:0.001+l:0.109) val:-0.164 test:-0.168 [Accr] train:19.8% val:74.3% test:72.6% maxVal:84.4% maxTest:83.8%
[43/50] [Loss] train:-0.029(f:-0.151+r:0.011+k:0.001+l:0.109) val:-0.155 test:-0.159 [Accr] train:20.3% val:72.4% test:70.9% maxVal:84.4% maxTest:83.8%
[44/50] [Loss] train:-0.030(f:-0.152+r:0.012+k:0.001+l:0.109) val:-0.144 test:-0.148 [Accr] train:20.6% val:69.3% test:68.4% maxVal:84.4% maxTest:83.8%
[45/50] [Loss] train:-0.034(f:-0.155+r:0.011+k:0.001+l:0.109) val:-0.163 test:-0.163 [Accr] train:20.5% val:70.6% test:69.0% maxVal:84.4% maxTest:83.8%
[46/50] [Loss] train:-0.038(f:-0.157+r:0.009+k:0.001+l:0.109) val:-0.156 test:-0.157 [Accr] train:21.1% val:68.0% test:66.5% maxVal:84.4% maxTest:83.8%
[47/50] [Loss] train:-0.038(f:-0.158+r:0.010+k:0.001+l:0.108) val:-0.151 test:-0.151 [Accr] train:21.5% val:69.7% test:68.0% maxVal:84.4% maxTest:83.8%
[48/50] [Loss] train:-0.041(f:-0.159+r:0.009+k:0.001+l:0.108) val:-0.159 test:-0.161 [Accr] train:21.4% val:68.4% test:67.1% maxVal:84.4% maxTest:83.8%
[49/50] [Loss] train:-0.042(f:-0.160+r:0.009+k:0.001+l:0.108) val:-0.148 test:-0.148 [Accr] train:22.0% val:67.0% test:65.4% maxVal:84.4% maxTest:83.8%
[50/50] [Loss] train:-0.042(f:-0.161+r:0.010+k:0.001+l:0.108) val:-0.144 test:-0.143 [Accr] train:22.2% val:66.4% test:64.8% maxVal:84.4% maxTest:83.8%
